,name,Eyes,Plumage,Beak,Hat,Clothes,Accessories,trait_n,Eyes_rarity,Plumage_rarity,Beak_rarity,Hat_rarity,Clothes_rarity,Accessories_rarity,mean_trait_rarity,min_trait_rarity,max_trait_rarity
0,Toucan Gang #4272,,Parakeet,Diamond,Blue Headband,Black Stripes,,4,,0.04677754677754678,0.0242983367983368,0.028049455619117918,0.027370651598092884,,0.03162399769827359,0.0242983367983368,0.04677754677754678
0,Toucan Gang #2042,,Regular,Regular,Yellow Headband,Captain Toucan,,4,,0.5440488565488566,0.4744022869022869,0.026942240265731686,0.017658484901995408,,0.2657629671547177,0.017658484901995408,0.5440488565488566
0,Toucan Gang #5116,,Regular,Regular,Crown,Grey Tank Top,,4,,0.5440488565488566,0.4744022869022869,0.021406163498800517,0.028253575843192654,,0.2670277206982842,0.021406163498800517,0.5440488565488566
0,Toucan Gang #5963,Stoner,Albino,Cockatiel,Flower Crown,Magician,,5,0.12100942535725144,0.028846153846153848,0.04196985446985447,0.02952574275696623,0.028783330390252517,,0.0500269013640957,0.028783330390252517,0.12100942535725144
0,Toucan Gang #4136,,Regular,Parakeet,Gladiator,Magician,,4,,0.5440488565488566,0.0498960498960499,0.02251337885218675,0.028783330390252517,,0.16131040392183643,0.02251337885218675,0.5440488565488566
0,Toucan Gang #1665,,Red Devil,Diamond,Peter Toupan,,,3,,0.017411642411642413,0.0242983367983368,0.028972135080273114,,,0.023560704763417442,0.017411642411642413,0.028972135080273114
0,Toucan Gang #1173,,Rainbow,Diamond Open,,Red Jersey,,3,,0.017411642411642413,0.004937629937629938,,0.02666431220201307,,0.01633786151709514,0.004937629937629938,0.02666431220201307
0,Toucan Gang #1158,Sleepy,Regular,Rainbow,Purple Headband,Groom,,5,0.11705685618729098,0.5440488565488566,0.02442827442827443,0.028233991511348956,0.032315027370651596,,0.14921660120928454,0.02442827442827443,0.5440488565488566
0,Toucan Gang #8280,Laser,Regular,Cockatiel,,Lab Coat,,4,0.07236242018850715,0.5440488565488566,0.04196985446985447,,0.027194066749072928,,0.17139379948907277,0.027194066749072928,0.5440488565488566
0,Toucan Gang #2788,,Regular,Blue Macaw,Cop,,,3,,0.5440488565488566,0.05353430353430354,0.02768038383465584,,,0.20842118130593867,0.02768038383465584,0.5440488565488566
0,Toucan Gang #8418,,Regular,Diamond Open,Rasta,,,3,,0.5440488565488566,0.004937629937629938,0.019745340468721166,,,0.18957727565173588,0.004937629937629938,0.5440488565488566
0,Toucan Gang #705,Stoner,Cockatiel,Regular,Blue Headband,Fireman,,5,0.12100942535725144,0.04054054054054054,0.4744022869022869,0.028049455619117918,0.026487727352993113,,0.138097887154438,0.026487727352993113,0.4744022869022869
0,Toucan Gang #1521,Blind,White,Regular,Party Hat,Magician,,5,0.09972636059592581,0.03755197505197505,0.4744022869022869,0.028233991511348956,0.028783330390252517,,0.13373958889035786,0.028233991511348956,0.4744022869022869
0,Toucan Gang #6074,,White,Cockatiel,Rasta,Dalton,,4,,0.03755197505197505,0.04196985446985447,0.019745340468721166,0.028783330390252517,,0.0320126250952008,0.019745340468721166,0.04196985446985447
0,Toucan Gang #8031,Stoner,Regular,Gold,,Peter Toupan,,4,0.12100942535725144,0.5440488565488566,0.031185031185031187,,0.025781387956913298,,0.18050617526201312,0.025781387956913298,0.5440488565488566
0,Toucan Gang #4522,Blind,Regular,Red Macaw Open,Gladiator,,,4,0.09972636059592581,0.5440488565488566,0.014033264033264034,0.02251337885218675,,,0.17008046500755827,0.014033264033264034,0.5440488565488566
0,Toucan Gang #656,Cyborg,Regular,Blue Macaw,,Ape Costume,,4,0.050775311644876864,0.5440488565488566,0.05353430353430354,,0.022249690976514216,,0.1676520406761378,0.022249690976514216,0.5440488565488566
0,Toucan Gang #7489,,Blue Macaw,Cockatiel,Cowboy,,,3,,0.04573804573804574,0.04196985446985447,0.028418527403579995,,,0.03870880920382674,0.028418527403579995,0.04573804573804574
0,Toucan Gang #9316,,Regular,Alien,Flower Crown,,,3,,0.5440488565488566,0.014033264033264034,0.02952574275696623,,,0.1958692877796956,0.014033264033264034,0.5440488565488566
0,Toucan Gang #2955,Snake,Red Macaw,Parakeet,Military,Dalton,,5,0.09060504712678626,0.048466735966735966,0.0498960498960499,0.028418527403579995,0.028783330390252517,,0.04923393815668093,0.028418527403579995,0.09060504712678626
0,Toucan Gang #1095,,Rainbow,Regular,Yellow Headband,Detective,,4,,0.017411642411642413,0.4744022869022869,0.026942240265731686,0.032138442521631644,,0.13772365302532316,0.017411642411642413,0.4744022869022869
0,Toucan Gang #2985,Crying,Regular,Parakeet,,Pharaoh,,4,0.11675281240498632,0.5440488565488566,0.0498960498960499,,0.01642239095885573,,0.18178002745218716,0.01642239095885573,0.5440488565488566
0,Toucan Gang #850,Furious,Regular,Red Macaw,,,,3,0.11675281240498632,0.5440488565488566,0.05275467775467776,,,,0.23785211556950692,0.05275467775467776,0.5440488565488566
0,Toucan Gang #456,,Regular,Regular,Captain Toucan,Blue Stripes,,4,,0.5440488565488566,0.4744022869022869,0.019560804576490128,0.029136500088292425,,0.26678711202898153,0.019560804576490128,0.5440488565488566
0,Toucan Gang #1493,,Parakeet,Regular,,Ape Costume,Mummy,4,,0.04677754677754678,0.4744022869022869,,0.022249690976514216,0.5178197064989518,0.2653123077888249,0.022249690976514216,0.5178197064989518
0,Toucan Gang #2106,Snake,Regular,Regular,Toucamon,Doctor,,5,0.09060504712678626,0.5440488565488566,0.4744022869022869,0.026573168481269605,0.02666431220201307,,0.23245873425224248,0.026573168481269605,0.5440488565488566
0,Toucan Gang #1845,,Tiger,Regular,Unicorn,Peter Toupan,,4,,0.0204002079002079,0.4744022869022869,0.019745340468721166,0.025781387956913298,,0.13508230580703232,0.019745340468721166,0.4744022869022869
0,Toucan Gang #8287,,Regular,Albino,Crown,Lumberjack,,4,,0.5440488565488566,0.05197505197505198,0.021406163498800517,0.029136500088292425,,0.16164164302775036,0.021406163498800517,0.5440488565488566
0,Toucan Gang #7657,,Zombie,Gold Open,Detective,,,3,,0.016502079002079003,0.010005197505197506,0.028972135080273114,,,0.018493137195849874,0.010005197505197506,0.028972135080273114
0,Toucan Gang #2310,Snake,Regular,Regular,,Gladiator,,4,0.09060504712678626,0.5440488565488566,0.4744022869022869,,0.016952145505915592,,0.28150208402096133,0.016952145505915592,0.5440488565488566
0,Toucan Gang #8037,,Regular,Parakeet,,Vader,,3,,0.5440488565488566,0.0498960498960499,,0.0028253575843192654,,0.19892342134307525,0.0028253575843192654,0.5440488565488566
0,Toucan Gang #7820,Scar,Regular,Regular,Captain Toucan,Lab Coat,Mummy,6,0.10276679841897234,0.5440488565488566,0.4744022869022869,0.019560804576490128,0.027194066749072928,0.5178197064989518,0.2809654199491051,0.019560804576490128,0.5440488565488566
0,Toucan Gang #1315,,Red Macaw,Red Devil,Laurel,Red Jersey,,4,,0.048466735966735966,0.02027027027027027,0.029894814541428307,0.02666431220201307,,0.031324033245111904,0.02027027027027027,0.048466735966735966
0,Toucan Gang #9265,,Regular,Regular,Detective,Blue Jersey,,4,,0.5440488565488566,0.4744022869022869,0.028972135080273114,0.02754723644711284,,0.2687426287446324,0.02754723644711284,0.5440488565488566
0,Toucan Gang #7740,Stoner,Gold,Regular,Military,Military,Mummy,6,0.12100942535725144,0.012084199584199585,0.4744022869022869,0.028418527403579995,0.033551121313791274,0.5178197064989518,0.1978808778433435,0.012084199584199585,0.5178197064989518
0,Toucan Gang #5975,Blind,Blue Macaw,Gold,,Scarf,,4,0.09972636059592581,0.04573804573804574,0.031185031185031187,,0.029136500088292425,,0.0514464844018238,0.029136500088292425,0.09972636059592581
0,Toucan Gang #1674,,Red Macaw,Regular,Yellow Headband,Pirate,Chained,5,,0.048466735966735966,0.4744022869022869,0.026942240265731686,0.02754723644711284,0.48218029350104824,0.21190775861658312,0.026942240265731686,0.48218029350104824
0,Toucan Gang #1894,,Regular,Red Macaw,Top Hat,Emperor,,4,,0.5440488565488566,0.05275467775467776,0.02971027864919727,0.01377361822355642,,0.16007185779407201,0.01377361822355642,0.5440488565488566
0,Toucan Gang #2948,Snake,Regular,Regular,,Peter Toupan,Chained,5,0.09060504712678626,0.5440488565488566,0.4744022869022869,,0.025781387956913298,0.48218029350104824,0.32340357440717826,0.025781387956913298,0.5440488565488566
0,Toucan Gang #3960,Blind,Cyborg,Gold,Yellow Headband,,,4,0.09972636059592581,0.013773388773388774,0.031185031185031187,0.026942240265731686,,,0.04290675520501937,0.013773388773388774,0.09972636059592581
0,Toucan Gang #1053,,Regular,Diamond Open,Borsalino,,,3,,0.5440488565488566,0.004937629937629938,0.01919173279202805,,,0.18939273975950485,0.004937629937629938,0.5440488565488566
0,Toucan Gang #1089,,Cyborg,Regular,Yellow Headband,,,3,,0.013773388773388774,0.4744022869022869,0.026942240265731686,,,0.17170597198046914,0.013773388773388774,0.4744022869022869
0,Toucan Gang #6250,,Regular,Gold,Halo,,,3,,0.5440488565488566,0.031185031185031187,0.021406163498800517,,,0.19888001707756278,0.021406163498800517,0.5440488565488566
0,Toucan Gang #725,,Regular,Blue Macaw,Viking,Gladiator,,4,,0.5440488565488566,0.05353430353430354,0.017899981546410777,0.016952145505915592,,0.15810882178387164,0.016952145505915592,0.5440488565488566
0,Toucan Gang #4189,Scar,Red Macaw,Regular,Crown,,,4,0.10276679841897234,0.048466735966735966,0.4744022869022869,0.021406163498800517,,,0.16176049619669894,0.021406163498800517,0.4744022869022869
0,Toucan Gang #4544,,Blue Macaw,Red Devil,Chef Hat,Samurai,,4,,0.04573804573804574,0.02027027027027027,0.02472780955895922,0.017835069751015363,,0.02714279882957265,0.017835069751015363,0.04573804573804574
0,Toucan Gang #1884,Snake,Red Macaw,Regular,Fireman,,,4,0.09060504712678626,0.048466735966735966,0.4744022869022869,0.028049455619117918,,,0.16038088140373175,0.028049455619117918,0.4744022869022869
0,Toucan Gang #7058,Stoner,Regular,Regular,Flower Crown,,,4,0.12100942535725144,0.5440488565488566,0.4744022869022869,0.02952574275696623,,,0.2922465778913403,0.02952574275696623,0.5440488565488566
0,Toucan Gang #2771,Crying,Cheetah,Regular,Unicorn,,,4,0.11675281240498632,0.028066528066528068,0.4744022869022869,0.019745340468721166,,,0.15974174196063062,0.019745340468721166,0.4744022869022869
0,Toucan Gang #3034,Stoner,Cockatiel,Regular,Emperor,,,4,0.12100942535725144,0.04054054054054054,0.4744022869022869,0.017161837977486622,,,0.1632785226943914,0.017161837977486622,0.4744022869022869
0,Toucan Gang #661,Furious,Regular,Regular,,Toga,,4,0.11675281240498632,0.5440488565488566,0.4744022869022869,,0.027017481900052976,,0.29055535943904576,0.027017481900052976,0.5440488565488566
0,Toucan Gang #4628,Crying,Red Devil,Parakeet,Devil Horns,Ape Costume,Mummy,6,0.11675281240498632,0.017411642411642413,0.0498960498960499,0.023436058313341945,0.022249690976514216,0.5178197064989518,0.12459432675024777,0.017411642411642413,0.5178197064989518
0,Toucan Gang #8030,Stoner,Regular,Blue Macaw,,Black Stripes,,4,0.12100942535725144,0.5440488565488566,0.05353430353430354,,0.027370651598092884,,0.18649080925962613,0.027370651598092884,0.5440488565488566
0,Toucan Gang #8556,,Red Devil,Cockatiel,Gladiator,Nindo,,4,,0.017411642411642413,0.04196985446985447,0.02251337885218675,0.02984283948437224,,0.027934428804513967,0.017411642411642413,0.04196985446985447
0,Toucan Gang #3386,,Cyborg,Regular,Purple Headband,,,3,,0.013773388773388774,0.4744022869022869,0.028233991511348956,,,0.1721365557290082,0.013773388773388774,0.4744022869022869
0,Toucan Gang #2429,,White,Regular,Cowboy,Military,,4,,0.03755197505197505,0.4744022869022869,0.028418527403579995,0.033551121313791274,,0.1434809776679083,0.028418527403579995,0.4744022869022869
0,Toucan Gang #4578,,Regular,Gold,,Emperor,,3,,0.5440488565488566,0.031185031185031187,,0.01377361822355642,,0.19633583531914808,0.01377361822355642,0.5440488565488566
0,Toucan Gang #5474,,Regular,Rainbow Open,Purple Headband,,,3,,0.5440488565488566,0.006496881496881497,0.028233991511348956,,,0.19292657651902903,0.006496881496881497,0.5440488565488566
0,Toucan Gang #3532,,Regular,Blue Macaw Open,Detective,Detective,,4,,0.5440488565488566,0.011174636174636175,0.028972135080273114,0.032138442521631644,,0.1540835175813494,0.011174636174636175,0.5440488565488566
0,Toucan Gang #891,,Cheetah,Regular,Sushi Chef,Mummy,,4,,0.028066528066528068,0.4744022869022869,0.026942240265731686,0.01995408793925481,,0.13734128579345037,0.01995408793925481,0.4744022869022869
0,Toucan Gang #7070,,Regular,Albino,Party Hat,,,3,,0.5440488565488566,0.05197505197505198,0.028233991511348956,,,0.20808596667841917,0.028233991511348956,0.5440488565488566
0,Toucan Gang #8608,,Snake,Regular,Gladiator,Red Jersey,,4,,0.015592515592515593,0.4744022869022869,0.02251337885218675,0.02666431220201307,,0.13479312338725058,0.015592515592515593,0.4744022869022869
0,Toucan Gang #4210,,Red Macaw,Regular,Halo,Mummy,,4,,0.048466735966735966,0.4744022869022869,0.021406163498800517,0.01995408793925481,,0.14105731857676956,0.01995408793925481,0.4744022869022869
0,Toucan Gang #4955,,Regular,Regular,Captain Toucan,Toga,,4,,0.5440488565488566,0.4744022869022869,0.019560804576490128,0.027017481900052976,,0.2662573574819217,0.019560804576490128,0.5440488565488566
0,Toucan Gang #2735,,Regular,Blue Macaw,,Mummy,,3,,0.5440488565488566,0.05353430353430354,,0.01995408793925481,,0.205845749340805,0.01995408793925481,0.5440488565488566
0,Toucan Gang #1756,Scar,Chameleon,Regular,Magician,Fireman,,5,0.10276679841897234,0.036642411642411644,0.4744022869022869,0.019560804576490128,0.026487727352993113,,0.13197200577863083,0.019560804576490128,0.4744022869022869
0,Toucan Gang #9612,Blind,Regular,Regular,Flower,Pink Stripes,,5,0.09972636059592581,0.5440488565488566,0.4744022869022869,0.026942240265731686,0.03019600918241215,,0.2350631506990426,0.026942240265731686,0.5440488565488566
0,Toucan Gang #5217,,Regular,Blue Macaw,Gladiator,Cowboy,,4,,0.5440488565488566,0.05353430353430354,0.02251337885218675,0.027194066749072928,,0.16182265142110494,0.02251337885218675,0.5440488565488566
0,Toucan Gang #7704,Blind,Blue Macaw,Regular,,Mummy,,4,0.09972636059592581,0.04573804573804574,0.4744022869022869,,0.01995408793925481,,0.1599551952938783,0.01995408793925481,0.4744022869022869
0,Toucan Gang #612,,Regular,Cockatiel Open,Blue Headband,,,3,,0.5440488565488566,0.012084199584199585,0.028049455619117918,,,0.19472750391739135,0.012084199584199585,0.5440488565488566
0,Toucan Gang #1014,,Regular,Regular,Punk,,Mummy,4,,0.5440488565488566,0.4744022869022869,0.028787599188042075,,0.5178197064989518,0.39126461228453435,0.028787599188042075,0.5440488565488566
0,Toucan Gang #3581,,White,Regular,Top Hat,Green Racing Suit,,4,,0.03755197505197505,0.4744022869022869,0.02971027864919727,0.021896521278474308,,0.1408902654704834,0.021896521278474308,0.4744022869022869
0,Toucan Gang #936,,Regular,Blue Macaw,Flower,Dalton,,4,,0.5440488565488566,0.05353430353430354,0.026942240265731686,0.028783330390252517,,0.16332718268478608,0.026942240265731686,0.5440488565488566
0,Toucan Gang #3250,,Parakeet,Cyborg,Cowboy,Robin,,4,,0.04677754677754678,0.01988045738045738,0.028418527403579995,0.017658484901995408,,0.028183754115894893,0.017658484901995408,0.04677754677754678
0,Toucan Gang #7697,,Regular,Regular,,Yellow Jersey,Mummy,4,,0.5440488565488566,0.4744022869022869,,0.02895991523927247,0.5178197064989518,0.391307691297342,0.02895991523927247,0.5440488565488566
0,Toucan Gang #4636,Furious,Parakeet,Gold,Cap,,,4,0.11675281240498632,0.04677754677754678,0.031185031185031187,0.026573168481269605,,,0.05532213971220848,0.026573168481269605,0.11675281240498632
0,Toucan Gang #2218,,Regular,Parakeet,Banana,Grey Tank Top,,4,,0.5440488565488566,0.0498960498960499,0.026204096696807528,0.028253575843192654,,0.16210064474622668,0.026204096696807528,0.5440488565488566
0,Toucan Gang #6476,Stoner,Regular,Regular Open,,Polo,,4,0.12100942535725144,0.5440488565488566,0.027936590436590438,,0.024721878862793572,,0.179429187801373,0.024721878862793572,0.5440488565488566
0,Toucan Gang #9449,,Regular,Albino,Ninja,Cowboy,,4,,0.5440488565488566,0.05197505197505198,0.010703081749400259,0.027194066749072928,,0.15848026425559542,0.010703081749400259,0.5440488565488566
0,Toucan Gang #1262,Scar,Regular,Regular Open,Pirate,Purple Jersey,,5,0.10276679841897234,0.5440488565488566,0.027936590436590438,0.01900719689979701,0.028783330390252517,,0.14450855453889377,0.01900719689979701,0.5440488565488566
0,Toucan Gang #1596,,Albino,Rainbow,Green Racing Helmet,Captain Toucan,,4,,0.028846153846153848,0.02442827442827443,0.008119579258165713,0.017658484901995408,,0.01976312310864735,0.008119579258165713,0.028846153846153848
0,Toucan Gang #6005,Blind,White,Regular,Gladiator,Grey Tank Top,,5,0.09972636059592581,0.03755197505197505,0.4744022869022869,0.02251337885218675,0.028253575843192654,,0.13248951544911344,0.02251337885218675,0.4744022869022869
0,Toucan Gang #3457,,Red Macaw,Rainbow,Top Hat,Peter Toupan,Chained,5,,0.048466735966735966,0.02442827442827443,0.02971027864919727,0.025781387956913298,0.48218029350104824,0.12211339410043384,0.02442827442827443,0.48218029350104824
0,Toucan Gang #5023,,Regular,Albino,Viking,Lumberjack,,4,,0.5440488565488566,0.05197505197505198,0.017899981546410777,0.029136500088292425,,0.16076509753965293,0.017899981546410777,0.5440488565488566
0,Toucan Gang #8715,,Regular,Gold,Rasta,,,3,,0.5440488565488566,0.031185031185031187,0.019745340468721166,,,0.19832640940086965,0.019745340468721166,0.5440488565488566
0,Toucan Gang #3106,,Regular,Alien Open,,Lumberjack,,3,,0.5440488565488566,0.005067567567567568,,0.029136500088292425,,0.19275097473490552,0.005067567567567568,0.5440488565488566
0,Toucan Gang #7385,Sleepy,Regular,Blue Macaw,Fireman,Lumberjack,,5,0.11705685618729098,0.5440488565488566,0.05353430353430354,0.028049455619117918,0.029136500088292425,,0.15436519439557228,0.028049455619117918,0.5440488565488566
0,Toucan Gang #4625,,Blue Macaw,Rainbow Open,Toucamon,,,3,,0.04573804573804574,0.006496881496881497,0.026573168481269605,,,0.026269365238732283,0.006496881496881497,0.04573804573804574
0,Toucan Gang #7402,,Parakeet,Regular,Punk,Purple Jersey,,4,,0.04677754677754678,0.4744022869022869,0.028787599188042075,0.028783330390252517,,0.14468769081453206,0.028783330390252517,0.4744022869022869
0,Toucan Gang #485,Blind,Red Macaw,Regular,,Detective,,4,0.09972636059592581,0.048466735966735966,0.4744022869022869,,0.032138442521631644,,0.1636834564966451,0.032138442521631644,0.4744022869022869
0,Toucan Gang #749,Sleepy,Regular,Regular,Pirate,Captain Toucan,,5,0.11705685618729098,0.5440488565488566,0.4744022869022869,0.01900719689979701,0.017658484901995408,,0.23443473628804537,0.017658484901995408,0.5440488565488566
0,Toucan Gang #4412,,Chameleon,Regular,Gladiator,Dalton,,4,,0.036642411642411644,0.4744022869022869,0.02251337885218675,0.028783330390252517,,0.14058535194678445,0.02251337885218675,0.4744022869022869
0,Toucan Gang #4040,,Rainbow,Diamond Open,Samurai,Peter Toupan,,4,,0.017411642411642413,0.004937629937629938,0.02214430706772467,0.025781387956913298,,0.017568741843477582,0.004937629937629938,0.025781387956913298
0,Toucan Gang #6303,Crying,Regular,Regular,Pirate,Blue Tank Top,,5,0.11675281240498632,0.5440488565488566,0.4744022869022869,0.01900719689979701,0.0280769909941727,,0.2364576287500199,0.01900719689979701,0.5440488565488566
0,Toucan Gang #6305,Stoner,Red Macaw,Cyborg Open,,Cowboy,,4,0.12100942535725144,0.048466735966735966,0.007146569646569647,,0.027194066749072928,,0.0509541994299075,0.007146569646569647,0.12100942535725144
0,Toucan Gang #8306,,Regular,Red Devil,Unicorn,Black Stripes,,4,,0.5440488565488566,0.02027027027027027,0.019745340468721166,0.027370651598092884,,0.15285877972148523,0.019745340468721166,0.5440488565488566
0,Toucan Gang #1948,,Regular,Cockatiel,,Pink Stripes,,3,,0.5440488565488566,0.04196985446985447,,0.03019600918241215,,0.20540490673370773,0.03019600918241215,0.5440488565488566
0,Toucan Gang #7696,,Regular,Regular Open,,White Tank Top,,3,,0.5440488565488566,0.027936590436590438,,0.024898463711813527,,0.1989613035657535,0.024898463711813527,0.5440488565488566
0,Toucan Gang #5941,,Rainbow,Regular,Nindo,Green Racing Suit,,4,,0.017411642411642413,0.4744022869022869,0.02583502491234545,0.021896521278474308,,0.13488636887618727,0.017411642411642413,0.4744022869022869
0,Toucan Gang #2483,,Red Macaw,Diamond,Laurel,,,3,,0.048466735966735966,0.0242983367983368,0.029894814541428307,,,0.03421996243550036,0.0242983367983368,0.048466735966735966
0,Toucan Gang #7441,,Regular,Diamond,Toucamon,,,3,,0.5440488565488566,0.0242983367983368,0.026573168481269605,,,0.19830678727615433,0.0242983367983368,0.5440488565488566
0,Toucan Gang #5460,,Zebra,Cockatiel Open,,Purple Jersey,,3,,0.02053014553014553,0.012084199584199585,,0.028783330390252517,,0.02046589183486588,0.012084199584199585,0.028783330390252517
0,Toucan Gang #3545,,Regular,Gold,Flower,,,3,,0.5440488565488566,0.031185031185031187,0.026942240265731686,,,0.20072537599987317,0.026942240265731686,0.5440488565488566
0,Toucan Gang #2406,,Albino,Cockatiel Open,Laurel,,,3,,0.028846153846153848,0.012084199584199585,0.029894814541428307,,,0.02360838932392725,0.012084199584199585,0.029894814541428307
0,Toucan Gang #3425,,Regular,Regular,Unicorn,Toucamon,,4,,0.5440488565488566,0.4744022869022869,0.019745340468721166,0.02843016069221261,,0.26665666115301934,0.019745340468721166,0.5440488565488566
0,Toucan Gang #8149,Devil,Regular,Gold,,,,3,0.04530252356339313,0.5440488565488566,0.031185031185031187,,,,0.20684547043242696,0.031185031185031187,0.5440488565488566
0,Toucan Gang #2784,,Regular,Cockatiel,,Cop,,3,,0.5440488565488566,0.04196985446985447,,0.02595797280593325,,0.20399222794154812,0.02595797280593325,0.5440488565488566
0,Toucan Gang #9051,,White,Zombie,Devil Horns,,,3,,0.03755197505197505,0.013903326403326404,0.023436058313341945,,,0.0249637865895478,0.013903326403326404,0.03755197505197505
0,Toucan Gang #3884,Blind,Parakeet,Regular,Cop,,,4,0.09972636059592581,0.04677754677754678,0.4744022869022869,0.02768038383465584,,,0.16214664452760383,0.02768038383465584,0.4744022869022869
0,Toucan Gang #7887,Robin,Snake,Regular,Detective,Cop,,5,0.06688963210702341,0.015592515592515593,0.4744022869022869,0.028972135080273114,0.02595797280593325,,0.12236290849760645,0.015592515592515593,0.4744022869022869
0,Toucan Gang #1746,Sleepy,Cyborg,Regular,Blue Headband,,,4,0.11705685618729098,0.013773388773388774,0.4744022869022869,0.028049455619117918,,,0.15832049687052113,0.013773388773388774,0.4744022869022869
0,Toucan Gang #1269,,Parakeet,Regular,,Red Racing Suit,,3,,0.04677754677754678,0.4744022869022869,,0.01995408793925481,,0.18037797387302948,0.01995408793925481,0.4744022869022869
0,Toucan Gang #6780,,Regular,Cyborg Open,Sheriff,Purple Jersey,,4,,0.5440488565488566,0.007146569646569647,0.021775235283262594,0.028783330390252517,,0.15043849796723535,0.007146569646569647,0.5440488565488566
0,Toucan Gang #1198,,Red Macaw,Regular,Yellow Headband,,,3,,0.048466735966735966,0.4744022869022869,0.026942240265731686,,,0.1832704210449182,0.026942240265731686,0.4744022869022869
0,Toucan Gang #4804,Stoner,Red Macaw,Regular,Halo,Blue Stripes,,5,0.12100942535725144,0.048466735966735966,0.4744022869022869,0.021406163498800517,0.029136500088292425,,0.13888422236267345,0.021406163498800517,0.4744022869022869
0,Toucan Gang #9114,,Cyborg,Regular,Top Hat,Lumberjack,,4,,0.013773388773388774,0.4744022869022869,0.02971027864919727,0.029136500088292425,,0.13675561360329133,0.013773388773388774,0.4744022869022869
0,Toucan Gang #9960,,Regular,Red Macaw,Flower,Toga,,4,,0.5440488565488566,0.05275467775467776,0.026942240265731686,0.027017481900052976,,0.16269081411732975,0.026942240265731686,0.5440488565488566
0,Toucan Gang #5312,Laser,Rainbow,Red Macaw,,Red Racing Suit,,4,0.07236242018850715,0.017411642411642413,0.05275467775467776,,0.01995408793925481,,0.040620707073520536,0.017411642411642413,0.07236242018850715
0,Toucan Gang #9387,,Red Devil,Regular,Laurel,,,3,,0.017411642411642413,0.4744022869022869,0.029894814541428307,,,0.17390291461845253,0.017411642411642413,0.4744022869022869
0,Toucan Gang #2987,Snake,Parakeet,Regular,Magician,Detective,,5,0.09060504712678626,0.04677754677754678,0.4744022869022869,0.019560804576490128,0.032138442521631644,,0.13269682558094836,0.019560804576490128,0.4744022869022869
